2026-05-30 00:37:54,527 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,528 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,528 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,529 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,529 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,530 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,530 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,530 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,535 | 17.248.239.65 -> 192.168.1.57 | UDP | 443 -> 55828 | 1276 bytes
2026-05-30 00:37:54,536 | 192.168.1.57 -> 17.248.239.65 | ICMP | 0 -> 0 | 70 bytes
2026-05-30 00:37:54,565 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,566 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,567 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,567 | 192.168.1.57 -> 3.5.147.77 | TCP | 62484 -> 443 | 54 bytes
2026-05-30 00:37:54,594 | 17.248.239.65 -> 192.168.1.57 | UDP | 443 -> 65496 | 1497 bytes
2026-05-30 00:37:54,594 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,595 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,595 | 17.248.239.10 -> 192.168.1.57 | UDP | 443 -> 61585 | 1276 bytes
2026-05-30 00:37:54,596 | 3.5.147.77 -> 192.168.1.57 | TCP | 443 -> 62485 | 66 bytes
2026-05-30 00:37:54,597 | 192.168.1.57 -> 17.248.239.10 | ICMP | 0 -> 0 | 70 bytes
2026-05-30 00:37:54,598 | 192.168.1.57 -> 17.248.239.65 | UDP | 65496 -> 443 | 92 bytes
2026-05-30 00:37:54,598 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,599 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,599 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,600 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,600 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
2026-05-30 00:37:54,601 | 192.168.1.57 -> 3.5.147.77 | TCP | 62485 -> 443 | 1474 bytes
